product_name,description,product_manufacturer,ASIN,prod_description,url
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),Material: Water Resistant Light-Weight Polyester<br>.Compartments: 2 with padding; Laptop Size: 15.6 inch and below<br>.Dimensions: LxWxH - 12.5 x 7.5 x 19 inches<br>.Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders<br>.Closure Type: Zipper<br>,ADISA,B09TPY1G1W,"DESCRIPTIONLight weight and spacious laptop backpack with 2 compartments and 1 front easy-access pocket. One compartment is for carrying laptop inside with padding for safety and space for laptop accessories like charger, etc. Other compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, etc. It has provision for holding bottles on both sides and has padded shoulder straps for your comfort.HighlightsBackpack FeaturesHighlightsAvailable in 3 colors",https://www.amazon.in/ADISA-Laptop-Backpack-College-z-Black/dp/B09TPY1G1W/ref=sr_1_145?crid=2M096C61O4MLT&keywords=bags&qid=1685048351&sprefix=ba%2Caps%2C283&sr=8-145
FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Light Grey Oxford Fabric),"PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips<br>; Age Range Description: Adult; Special Features: Laptop Compartment; Pocket Description: Utility Pocket; Style Name: Travel Backpacks<br><br>.Style Name: Travel Backpacks; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult<br>.Compartment Description: Greater Than 17 Inches; Water Resistance Level: Water Resistant<br>",Fatmug Designs,B084LFX8ZZ,"FATMUG Retric Convertible Laptop BagFATMUG Retric Convertible Laptop BagAt Fatmug Designs, our prime focus is quality and convenience. Crafted with the premium oxford fabric and sturdy hardware, FATMUG Retric Convertible Laptop Bag is a practical and stylish unisex bag. This multifunctional convertible laptop briefcase bag features top carry handles, a detachable sling and two hidden adjustable shoulder straps easily converts it into a backpack as and when required.Stay Organized at all timesMain Back CompartmentThoughtfully designed spacious main compartment with dedicated space for Laptop, tablet and other important documents.Main Front CompartmentNeatly designed main front compartment of the bag has dedicated space for books/notebooks/diary and brackets for pen to keep everything organized.Spacious Outer Zippers6 spacious outer zipper pockets ensure you have enough space and easy access to all your frequently needed items.Features of FATMUG Retric Convertible Laptop BagHidable Backpack StrapsThe backpack straps and handles can be hidden to convert it into a messenger/satchel bag as per need and convenience.Strong Detachable Dog HooksTested for 30 kgs of weight, these robust dog hooks make the strapshide-able and convert the bag to a briefcase when neededSmart Retractable HandlesRetractable handles stay flat on the surface when not needed. The handles on the top and the side give you the option of carrying the bag vertically or horizontally like a briefcaseSmooth, Stylish and Quality ZippersSmooth durable zippers allow easy access to inside things without getting stuck and are built to last a lifetimeMultipurpose DesignDaily Use Laptop BagpackThe Fabric of the bag has water and wind-resisting properties as well as prevents accumulation of dirt between fibers making it ideal for daily rough useOffice UseMultiple pockets to organise your stuff with all Laptop sizes easily fitting into the main compartment and the rich texture of the bag makes it a quintessential office bagBusiness TripsWith focus on utility, space and style, this can be your ideal business trip bag or for other weekender/overnight journeys.FATMUG Convertible Laptop Backpack - Light GreyFATMUG Crossbody Bagpack - Navy BlueFATMUG NewGen Tech Bagpack - Light GreyFATMUG Sling Buddy Messenger Bag - Navy BlueFATMUG Foldable Bagpack - OrangeCapacity20 Litres20 Litres22 Litres9 Litres25 LitresDimensions41.9 x 31.7 x 14 cm48 x 30 x 14 cm48.2 x 30.4 x 15.2 cm (L x B x H)33 x 23 x 11.5 cmUnfolded: 43x29x15 cm | Folded: 23x18x2.5 cmWeight900 Grams490 Grams1400 grams580 Grams270 GramsNo. of Compartments/Pockets2 Main Compartments, 2 Internal Pockets, 6 External Pockets1 Main Laptop Compartment, 3 External Pockets, 1 Secret PocketDedicated Laptop Compartment, 1 Main Tech Organizer Pocket, 5 External Quick Access Pockets1 Main Compartment, 4 Internal Pockets, 2 External Pockets1 Main Compartment, 3 External Pockets, 1 Internal PocketAvailable ColorsLight Grey, Dark Grey, Navy BlueLight Grey, Dark Grey, Navy BlueLight Grey, Dark Grey, Navy BlueLight Grey, Dark Grey, Navy BlueBlack, Grey, Red, Navy Blue, Sky Blue",https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LFX8ZZ/ref=sr_1_146?crid=2M096C61O4MLT&keywords=bags&qid=1685048351&sprefix=ba%2Caps%2C283&sr=8-146
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable","Beautiful colors and carefully crafted to be functional - It has beautiful print and ample space to keep your phone, card, cash, cosmetics and other essentials you need to carry on your day out, it will give you maximum storage without compromising your style statement..It is featured with adjustable strip which provides comfort & convenience while walking or travelling and top zip closure for easy opening & closing of the bag..This pretty sling bag has single large compartment storage space for carrying all your daily essentials. The compartment is also featured with zippered pocket inside to keep your card and cash separate and the bag manufactured using high grade faux leather and Pure Indian Cotton Canvas material..This cute trendy cross body bag is featured with wide bottom base or footed bottom with gold metal logo and fittings you can complement your contemporary look with this stylish sling/cross body bag. It is perfect handbag to carry at work or for casual and party look..Handcrafted/Handprinted- Each products are unique.",We Make Memories,B09TDNZ88Z,"Saccimucci Girls Sling BagDaypackhandmade with 100% vegan Leather and coated canvas duck fabricPrevious pageThe brand is an initiative of a NIFT, New Delhi graduate, who has a decade-long experience in art, design, and fashion. Through its collaboration with fine craftsmanship, the brand holds a vision of creating outstanding products to meet global quality standards with unique artistic touch imparted to each of its creations and be accessible to the masses.Handcrafted in IndiaEach product is thoughtful and carefully craftedCoated Duck Canvas FabricLightweight, Durable, Scratch Resistant, Water-ResistantNext page",https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z/ref=sr_1_148?crid=2M096C61O4MLT&keywords=bags&qid=1685048351&sprefix=ba%2Caps%2C283&sr=8-148
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","Care Instructions: Hand Wash Only.Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop<br> <br>.Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry<br> <br>.Front Organizer compartments for pens, keys, and cell phone<br> <br>.Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket <br>",Cosmus,B078JVT384,"Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.  This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move. Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+",https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_147?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-147
"American Tourister Zork Polyester 2 Compartment Laptop Unisex Backpack (Black,Frsz)",Product Type : Backpacks.Material : polyster.Compartment : 2.Warranty : 1 year,American Tourister,B0BV75WFJP,Zork Polyester 2 Compartment Laptop Unisex Backpack,https://www.amazon.in/American-Tourister-Polyester-Compartment-Backpack/dp/B0BV75WFJP/ref=sr_1_148?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-148
"Luv Lap LuvLap Baby Breast Milk Storage Bags (Pack of 25), BPA Free Disposable Milk Freezer Bags for Breast Feeding, Transparent","HYGIENICALLY PRE-SEALED : LuvLap Breast Milk Storage Bags have been hygienically pre-sealed and are leak proof. Can store, freeze and protect precious breastmilk.DURABLE DOUBLE-LAYER MATERIAL : This breastmilk storage bags made of durable double-layer material and built-in double zipper seal. It is Presterilized, free of BPA.SELF-STANDING DESIGN : The bags are self-standing. Provides enough space to write the details on its surface, allowing you to document the date and information about storage.SAFE & CONVENIENT : The bags lay flat, saves space. Designed for your safe and instant usage.Resistant to low temperature and high temperature. It can withstand minus 20 degrees to high temperature 120 degrees","Universal Corporation Limited, Universal corporation ltd , ningbo, china",B099ZZ57FT,"Baby Breast Milk Storage Bags, BPA Free Disposable Milk Freezer Bags for Breast Feeding (Pack of 25 Bags)",https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT/ref=sr_1_149?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-149
CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment,"Capacity: 35Litres; Quality: best quality as it is perfectly designed and made from high quality lightweight nylon and double dotted waterproof polyester.<br> <br>.This backpack is made to used for boys, girls, men, women and kids. This bag is very good for boys and girls of age because it has enough space to carry all books and accessories and it is very comfortable and stylish.<br> <br>.Two Main Compartment And One Extra Compartment Offers Space For Magazines, Notepad,Other Laptop Accessories, Stationery items || Eco-friendly, Durable, Lightweight, Flexible And Star Water-Resistant Material Helps To Keep The Interior Dry with a high quality material that keep Dust away.<br> <br>.Closure Type: Zipper; Strap Type: Shoulder Strap; Age Range Description: Adult; Compartment Description: Greater Than 17 Inches <br>","Universal Corporation Limited, Universal corporation ltd , ningbo, china",B084T7X2HX,"Teal in color so that it does not catch dust easily || A SECRET POCKET at bottom || Designed For Comfort- back padded and padded strap for more comfort || made from heavy quality nylon and polyester || best quality zip and chain used || It is fully waterproof to protect your books laptop from rain || best quality material used to design its inside structure || a fully paddded laptop sleeve that fit to all sizes and companies of laptop like HP , Dell , Asus , Lenovo , mi etc",https://www.amazon.in/Capriff-Liters-Collage-travell-Backpack/dp/B084T7X2HX/ref=sr_1_150?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-150
"Foldable Travel Duffel Bag,Sport Totes,Shoulder Shopping Bag,Luggage Bag,2 Pack (Pink+Blue)","[ 2 Pack ] - 1 pcs Pink Bag + 1 pcs Blue Bag.♛ 180 days FULL REFUND for Any Quality Problems & Dissatisfactions,no return required ! ♛ - contact seller ❤️DemonChest❤️.<b>Carry On Duffel Bag,Foldable Travel Bag,Water Resistant Bag,Foldable Duffle Bag for Women,Men Duffle Bags,Sport Totes,Shopping Shoulder Bag,Packable Duffle,Luggage Organizer,Nylon,Light Weight,Max Large Capacity，Pink Blue 2 Color Pack</b>.[ Small & Portable & Large Capacity ] - This bag can be fast folded into itself with a compact size, only 1/20 of a regular size luggage. It takes a little space while have up-to 25L capacity to be used as a shoulder bag in case your suitcase..[ PREMIUM QUALITY- ] - Crafted with stylish urban aesthetics in mind, it's also built to last given its ripstop nylon construction and quality guarantee. This bag is made from high density durable oxford fabric with water repellent coating, the fabric that is lightweight, water-resistant, and wear proof .",DEMON CHEST,B07VCRL9H3,"♛ After Sale Service ♛ NO SATISFIED ?!!FULL REFUND within 180 days use,no return needed .👍🏻👍🏼👍👍🏽👍🏾👍🏿 Note : Please contact right seller ❤️DemonChest❤️ for refund issue , not Amazon customer service team. Carry On Duffel Bag,Foldable Travel Bag,Water Resistant Bag,Foldable Duffle Bag for Women,Men Duffle Bags,Sport Totes,Shopping Shoulder Bag,Packable Duffle,Luggage Organizer,Nylon,Light Weight,Max Large Capacity，Pink Blue 2 Color Pack Feature Open Size: 18.90*6.30*12.60 inch / 480*160*320 mm Folding Size: 8.27*7.09 inch / 210*180 mm Fabric：Water Resistant Nylon Note - Not 100% waterproof. it's not recommended long time in the heavy rain. - Please allow some color difference for the bright colors NO SATISFIED ?!! 180 days FULL REFUND ! No return needed - contact seller ❤️DemonChest❤️ 👍🏻👍🏼👍👍🏽👍🏾👍🏿",https://www.amazon.in/Foldable-Travel-Shoulder-Shopping-Luggage/dp/B07VCRL9H3/ref=sr_1_153?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-153
F Gear Burner Art Lthr Black 22 Ltrs Laptop Backpack (3344),"Outer Material: Art Leather, Color: Black.Capacity: 22 liters; Weight: 740 grams; Dimensions: 31 cms x 16 cms x 48 cms (LxWxH).Number of compartments: 2.Laptop Compatibility: Yes, Laptop Size: Upto 16 Inches; Strap Type: Adjustable.Warranty Type: 1 Year Manufacturer Warranty.There might be minor color variation between actual product and image shown on screen due to lighting on the photography",Uber Fashion Merchandise Pvt. Ltd.,B085QX7J7R,"Sleek and compact design, Spacious and apt capacity, World’s best Japanese brand- YKK Zippers and sliders, Fabric – Premium Art Leather, soft touch, water-resistant, highly resistant to stains and is easy to clean, 2-main zippered compartments, Formal looking official theme, Ergonomic design & comfortable thick padding on the back panel minimizes load stress, Unisex design S-curve backstrap made from high density EPE foam padding (23 density), Premium Business Laptop Backpack, Quilted bottom design to protect your gear. I-pad/ tablet compartment on the front, front pocket for your passport or other small daily accessories, Inside organizer, Inside laptop sleeve suitable for laptop up to 17 inches, Reliable high-density polyester webbing, 2 side stash pocket made from premium, sturdy, anti-tear bottle net fabric, Elastic with long life retention of stretchable ability property, Adjustable straps, Ideal Office/ Business bag, Also suitable for Travel, All the above features make this backpack your most desirable office bag. So, hurry and don’t miss out on this backpack.",https://www.amazon.in/F-Gear-Burner-Art-Black-Laptop-Backpack/dp/B085QX7J7R/ref=sr_1_157?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-157
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Black,"Capicity: 21 Litres, Weight: 0.4kg; Dimensions: 45cmX29cmX16cm; Outer Material: Polyester; Inner Material: Polyester<br>.Water Repellent: Yes; Laptop Compartment: Yes ; Compartments: 2,one front pocket to hold essentials and A mesh stash pocket on one side to accommodate a drinking bottle & other accessories.<br>.Utility: Office, College, School, Camping, Weekend trip, Day trip<br>.Accessories shown in the picture are not part of the bag.<br>.Style Name: Daypack Backpacks; Color Name: Wht-Blk; Closure Type: Zipper; Strap Type: Shoulder Strap; Age Range Description: Kid; Warranty Description: No Warranty; Water Resistance Level: Water Resistant<br>",Rushi Enterprise,B07H193V57,"Capicity: 21 litres, weight: 0. 4kg, dimensions: 45cmx29cmx16cmOuter material: polyester, inner material: polyesterWater repellent: yes, laptop compartment: yes, compartments: 2, one front pocket to hold essentials and a mesh stash pocket on one side to accommodate a drinking bottle and other accessoriesUtility: office, college, school, camping, weekend trip, day tripDzert Casual BackpackPump up your style quotient a notch higher as you step out carrying this Dzert's Casual Backpack. It has a vibrant and stylish design, along with the added benefit of spacious interiors. Made from polyester, this backpack features a blue colour along with the brand name in front.Spacious CompartmentsThe bag has spacious compartments for carrying your belongings separately. There are also external pockets for carrying a bottle and other essentials.Adjustable padded shoulder strapsThis backpack comes with padded shoulder straps which can be adjusted according to your size for a customized fit. Furthermore, the broad straps distribute the weight of the backpack evenly across your shoulders.Separate bottle pockethis trendy and stylish backpack from Pole Star comes with a bottle pocket which can comfortably accommodate your bottle in a secure manner. Stay active all day and travel comfortably with the help of this ergonomically designed stylish backpack.Top Padded handleThis amazing travel buddy comes with an easy to use loop handle at the top. The top Padded handle provides a secure hold while you pick up or move the backpack.Spacious zippered compartmentsThis casual backpack comes with two spacious zippered compartments which can accommodate your notebooks & Laptop and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day. college to picnic, to a casual outing to camping and short trips, this bag can be your great companion everywhere. Pack your bags and ready, steady go.",https://www.amazon.in/DZert-Polyester-Black-White-Laptop/dp/B07H193V57/ref=sr_1_159?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-159
"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder","Vervo Laptop Backpack - The All-Purpose Solution for Your Daily Needs: Elevate your style with Harissons' Vervo laptop bag, perfect for office, college, and business travel. This versatile backpack is spacious and reliable, with polished styling to refresh your official attire. With dedicated cushioned sleeves for your laptop and tablet, Vervo can safely accommodate devices up to 15.6 inches, making it the ideal choice for any situation..Fits Everything You Need in One Place: Vervo's front quick-access zippered pocket and internal organizer keep your phone charger, hard drive, passport, ID card, stationery, and other essentials in place. With a main compartment large enough to hold all your files, documents, and clothes, this bag is perfect for work or a weekend trip. Plus, the elasticized concealed Bottle Security System and zippered compartment for quick access to your boarding pass make Vervo the ultimate all-in-one solution..OCD-Level Organization for Maximum Efficiency: The zippered mesh pocket in Vervo's main compartment helps you stay organized, while the elasticized 2-Point suspension system on the ergonomically designed backstraps absorbs up to 25% weight and distributes the load evenly. With a detachable key chain holder, you'll never lose your keys again. Plus, the Built-In rain cover and water-repellent polyester fabric protect your devices from rain and other hazards..Comfortable and Convenient: Piggyback your Vervo all day long without the backaches or the sweat thanks to the Anti-Sweat air mesh padding on the back. With bar-tacked backstraps and all weight-bearing stress points, Vervo is built to last, and the Bottom Protection System with an elevated laptop cradle and studs protects your devices from impact. Plus, with a 1-year warranty against manufacturing and workmanship defects, you can trust Vervo to be your go-to backpack..Stylish and Durable Backpack for Men and Women: Vervo comes in trendy designs that suit both men and women. This backpack is waterproof, functional, and stylish, making it the best laptop bag for men and women. With a 15.6 inch laptop sleeve bag, office laptop bag for men, and laptop bag for women, this bag is perfect for anyone who wants to be organized and stylish. Whether you're looking for a laptop travel bag or a gaming laptop bag, Vervo has got you covered.",Harissons,B07M5P5LW3,"Refresh your official attire with this multi-functional Vervo Laptop Backpack by Harissons Bags. The Vervo laptop backpack from Harissons is carefully engineered to secure your Laptop & Tablet and safely encase other belongings too. Perfect for your regular office or college as well as travel use. Organize, protect and carry your laptop and essentials. Dedicated laptop & Tablet compartment with cushioned cradle & elastic strap Velcro lock which can safely accommodate up to a 15.6'' inch laptop.Bottom Protection SystemBottom Protection System not only look pretty but they provide a function, they protect the base of your handbag, keeping it cleaner for longer.Sternum SupportVervo has Sternum Support that disperses the weight of the backpack, preventing your shoulders from getting too sore, and to keep the shoulder straps in place ensuring that they do not slide off your shoulders.Dedicated Zippered Pocket with Rain CoverNo more ""stuck due to rains"" feeling and No more ""waiting for that perfect weather"" to step out. This backpack comes with a Built-in Rain Cover that gives you convenience to travel anytime, anywhere!Weight Absorbing SystemThis backpack also has a Two Point Suspension System which absorbs the weight of your backpack making it relieving on your back and shouldersQuick Grab HandleNot only do you stand out in the crowd with its elegant design, Vervo also has an Easy Grab Handle for stress-free hauling around.",https://www.amazon.in/Harissons-Vervo-Laptop-Backpack-Built/dp/B07M5P5LW3/ref=sr_1_160?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-160
motherly Diaper Bags for Mom Travel Basic Edition (Navy Blue),"Capacity: 19 liters, Weight: 566gm<br> <br>.What’s new: Well-researched, upgraded fabric and hardware (zippers, rivets, gauge buttons) which is exclusively used to save you those extra bucks while maintaining the highest quality standards!! Light-weighted. Won’t add bulk and yet durable to sustain heavy weight.KEEP HOT WATER OR MILK WARM - Warm time of hot water or milk stored in the milk bottle pockets is 2 hours.<br> <br>.Pattern Name: Solid; Lining Description: Polyurethane; Age Range Description: Adult <br>",Motherly,B07PKQ3WJZ,not_provided,https://www.amazon.in/Motherly-Diaper-Bags-Travel-Basic/dp/B07PKQ3WJZ/ref=sr_1_161?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-161
"Storite Stylish Multi-Pocket Small Sling Cross Body Travel Messenger One Side Shoulder Bag for Men & Women (Brown, 20.5x9x16.5cm)","Messenger Sling Bag Dimension: Length (Horizontal Distance) – 16.5cm, Height – 20.5cm, Width – 9cm. Small capacity but perfectly fits up to 10” Tablet..Material: Leather Side Bag is Made of PU Leather with Zipper..Crossbody Sling Bag Structure: A total of 4 pockets(1 Front side pocket,2 Main Pockets,1 Rear Zipper Pocket).Ideal Application: Use this bag as a messenger Sling bag, shoulder bag, suitable for your office and business for everyday use..Disclaimer: The product in image may appear bigger or smaller than the real product. kindly read the dimension and check with any scale available to you before placing order.",SaiTech IT Private Limited,B08TR8RMNH,"Storite Stylish PU Leather Cross Body Travel Office Messenger Sling Bag for Men Women (16.5x9x20.5cm, Dark Brown)Brand: StoriteColor: BrownMaterial: PU LeatherProduct type: Sling & cross body Bag / Travel Messenger Sling BagProduct description:Perfect messenger bag/shoulder bag/cross body bag/handbag/ hiking or travelling Bag, suitable for office, outdoor and other occasions.Freely adjustable shoulder strap, you can adjust it according to your height and comfort requirements.The stitching on this product is nice and very strong.Product Dimensions: 16.5cm x 9cm x 20.5cm & Belt Length : 145cmAdjustable Cross body Shoulder Strap: Carry your cross body bag securely thanks to the fully adjustable strap. Wear it on your shoulder or across your body for added protection against pickpockets & purse snatchers.Sling Bag Perfect For Tablet :Small capacity but perfectly fits up to 10"" Tablet and you can use it as a sling bag to put all your small AccessoryIt has enough pockets and capacity to organized your basic survival gear, as well as to conveniently carry the stuff you have to access regularly.It must be the ideal gift for Birthday, Thanksgiving, Christmas, anniversary.Note : You can't use as a Tiffin bag.Multiple Compartment :1 Front - Side Pocket2 Main Pockets1 Back - Side PocketPerfect For Travelling :It has enough pockets and capacity to organise your basic survival gear, as well as to conveniently carry the stuff you have to access regularlyWash it with clean water in ordinary temperature.Easy to Carry :Our sling bags provide style and maximise comfort without sacrificing quality.The sling bag has one compartment which can hold a mobile phone, wallet, Tablet office, travel and other daily things.Sling Bag Vertical Chain Patch TanbrownPU Leather Sling Bag CoffeeDarkbrownMini Cross Body SlingTravel Bag-NavyBluePU Leather Rectangle Sling Bag BrownSling Bag- Army Print GreenGreyMaterialPU LeatherPU LeatherNylonPU LeatherNylonDimension25.5x20x7 cm30cm x 5.5 cm x 24cm21 x 6.5 x 23 cm22.5x12.5x17 cm25x19x7cm",https://www.amazon.in/Storite-Leather-Sling-Bag-Brown/dp/B08TR8RMNH/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-163
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,"MADE IN INDIA : We Made this Elegant Laptop Bag in Our own Factory located in Mumbai. We offer 1 Year Manufacturer Warranty FREE NO-TOUCH DOOR OPENER: This Door Opener Keychain can be used to avoid touching surfaces contactless. Use it on door handles, ATM keypads, elevators, retail checkout payment pads etc<br>; Closure Type: Zipper Snap; Pattern Name: Solid; Age Range Description: Adult<br>; Pattern Name: Solid; Age Range Description: Adult; Closure Type: Zipper Snap<br><br> <br>.Water Resistance Level: Water Resistant; Warranty Description: Cosmus Branded Backpack Comes With One Year Manufacturer Warranty.; Compartment Description: Up To 15 Inches; Strap Type: Adjustable Handle; Style Name: Casual Backpack<br><br> <br>.Special Features: Usb Port; Lining Description: Polyester; Material Type: Polyester <br>",COSMUSBAGS PVT.LTD.,B08D7D21FV,"Key FeaturesUSB CHARGING PORTWith built in USB charging port gives convenience to charge your phone while on move. Please note: power bank not included, USB charging port only offers an easy access to charge with your own power bank.SPACIOUSOne spacious packing compartment for daily necessities which includesOne padded laptop sleeve to hold 15.6 Inch Laptop along with many smallorganizer pockets.Water BottleThe two sided pocket comes with ample space andwater bottle compartmentKey FeaturesAdjustable StrapsComfortable airflow back design with thick ventilated padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Elegant top handle for a long time carry on.Feather LightBusiness Laptop Backpack which is also good for travel accessories to go with Carry On Luggage for Men Women Boys Girls of all age groups.WATER RESISTANCEStylish and Durable Spacious Laptop Backpack for Travel Cosmus Vogue 15.6 inch laptop backpack is made of High grade waterresistance PUcoated polyester material that gives it strength andmakesitdurablefor long-term use.Cosmus Vogue Grey Laptop BackpackCOSMUS Vogue 15.6 inches Business Laptop Backpack is thesleek and lightweight solution for your Laptop Bags needs that\'sperfectly suited to your daily lifedimensions: 18.5 x 13 x 6.5 inches : 47cm x 33cm x 17cm : Capacity 26 LitresOther FeaturesLaptop compartmentSeparate Portable Zippered PouchTwo Front Zipper PocketStylish Modern DesignMADE IN INDIA",https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_164?crid=2M096C61O4MLT&keywords=bags&qid=1685048353&sprefix=ba%2Caps%2C283&sr=8-164
AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,"Gift your shoulders and back the comfort of the AmazonBasics - Casual Backpack/Office Bag.It has 2 large compartments and 2 side pockets.Well-padded interior that keeps your laptop safe.Enough space for your other daily essentials like chargers, wallet, power bank, etc..Compact and sleek design.Well-cushioned shoulder straps.Dimensions: LxWXH: 47 X 33 X 15 cm.Weight: 0.460 grams",Flab internatioanl private limited,B09W4VMZ79,"Stylish & Durable Spacious BackpackIdeal for everyday use; the AmazonBasics Laptop Bag is designed to carry your laptop, charging accessories and stationary. Two two zippered compartments come handy in efficient organizing of your backpack contents.DURABLE SPACIOUS LAPTOP BACKPACKAmazonBasics Laptop Bag is designed to carry your laptop, charging accessories and stationary. Two two zippered compartments come handy in efficient organizing of your backpack contents.STORE IT ALLOrganise and carry your essentials using its two large compartments, two easy-access front pockets.MULTIPURPOSEThe laptop bagpack is perfect for daily use. 2 side pockets allow you to carry extra stuff.Good Looking & ComfortableThe intelligent and ergonomic design of this laptop back is convenient, comfortable and stylish.",https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_163?crid=2M096C61O4MLT&keywords=bags&qid=1685048356&sprefix=ba%2Caps%2C283&sr=8-163
"Red Lemon Swiss Cut Design 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable..LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc.TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on..ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.",Flab internatioanl private limited,B0C2KRH268,not_provided,https://www.amazon.in/Red-Lemon-Backpack-Accessories-Organiser/dp/B0C2KRH268/ref=sr_1_166?crid=2M096C61O4MLT&keywords=bags&qid=1685048356&sprefix=ba%2Caps%2C283&sr=8-166
